community_id,is_filter_hashtag,keyword
social-media,true,"USPol, Cybersecurity, shopping, MastoArt, bloomscrolling, introduction, hello, CatsofMastodon, petsofmastodon, DogsOfMastodon, justfuckoffalready, BreadPosting, Florespondence, SFFBookClub, Introductions, NowPlaying, NP, Caturday, Sporespondence, Mosstodon, TootFic, BandcampFriday, AmReading, AmWriting, MastoRadio, dogsofmastodon, sky, weather, americanfootball, life, politics, marketing, histodon, football, SpaceKaren, inktober, mondog, madtoart, mastoart, art, music, MastodonArt, goodmorning, MastoDev, MastoAPI"
social-media,false,"gamedev, bonjour, morning, Hello, Hi, Morning"
black-voices,true,"music, handmadejewelry"
black-voices,false,"StreetArt, hiphop"
travel,true,""
travel,false,history
photography,true,"avgeek, dreamhome, trains, transport, Astrophotography, BloomScrolling, gardens, ArtForSale, photOctober, bloomscrolling, artforhome, mansion, aiart"
photography,false,""
lgbtq,true,"crossdresser, EroticRomance, Yuri, twitch"
lgbtq,false,"intern, internship, globalinternship, CrossDresser, Breedable, #Lovehoney, twitchaffiliatestreamer, twitchaffiliate, twitchstreamer, stream, streamer, Heardle, bear, #sciencefiction, #scifi, #mpi, selfpromo, crossdressing"
movies,true,""
movies,false,love island
programming,true,astronomy
programming,false,wanted
weather,true,""
weather,false,"climatejustice,  climatecrisis , climatechange, bloomscrolling, scifi, mushrooms, fungi"
poverty-inequality,true,""
poverty-inequality,false,"vegan, TV, series, football, fuckcapitalism, floral"
science,true,""
science,false,"#mastoart, #Midjourney, #MidjourneyAI, #MidjourneyArt, #DigitalArt, #AIArt, #furry, #furryart, porn, porno, pornography, #Coinbase, Etsy, eBay, #NFT, #Bitcoin, #cryptotrading, #Crypto"
energy-pollution,true,""
energy-pollution,false,"tax credit, creativity"
environment,true,""
environment,false,"new, coffee  , design , illustration  , astrophotography, photography"
humanities,true,"bloomscrolling, startrek, BeanClub"
humanities,false,"kittens, pets, generativeart, rodeo, Rstats"
music,true,"heardleUSA, bandcampcodes, Heardle, skullseason, heardle"
music,false,""
law-justice,true,""
law-justice,false,"meme, ship"
