username,domain,name,slug,is_primary
Roundtrip,federate.social,US Politics,us_politics,false
Roundtrip,federate.social,Photography,photography,true
Argyle13,xarxa.cloud,US Politics,us_politics,false
Argyle13,xarxa.cloud,Weather,weather,false
Argyle13,xarxa.cloud,Women’s Voices,women_voices,false
Argyle13,xarxa.cloud,Workers Rights,workers_rights,false
_youssef_0k,newsmast.social,Climate change,climate_change,false
Argyle13,xarxa.cloud,Technology,technology,true
Hazelcrazygoatlady,sunbeam.city,Activism & Civil Rights,activism_civil_rights,false
Hazelcrazygoatlady,sunbeam.city,Architecture & Design,architecture_design,false
Hazelcrazygoatlady,sunbeam.city,Books & Literature,books_literature,false
Hazelcrazygoatlady,sunbeam.city,Environment,environment,false
Hazelcrazygoatlady,sunbeam.city,Indigenous Peoples,indigenous_peoples,false
Hazelcrazygoatlady,sunbeam.city,LGBTQ+,lgbtq,false
Hazelcrazygoatlady,sunbeam.city,Biodiversity & Rewilding,biodiversity_rewilding,true
_youssef_0k,newsmast.social,Creative Arts,creative_arts,false
janrif,newsmast.social,Social Media,social_media,false
janrif,newsmast.social,Social Sciences,social_sciences,false
janrif,newsmast.social,Technology,technology,false
janrif,newsmast.social,Ukraine Invasion,ukraine_invasion,false
janrif,newsmast.social,US Politics,us_politics,false
janrif,newsmast.social,Weather,weather,false
janrif,newsmast.social,Women’s Voices,women_voices,false
janrif,newsmast.social,Workers Rights,workers_rights,false
janrif,newsmast.social,Politics,politics,true
drakakis,universeodon.com,Books & Literature,books_literature,false
vlp00,newsmast.social,Breaking News,breaking_news,false
vlp00,newsmast.social,Engineering,engineering,false
vlp00,newsmast.social,Journalism & Comment,news_comment_data,false
vlp00,newsmast.social,Programming,programming,false
vlp00,newsmast.social,Social Media,social_media,false
vlp00,newsmast.social,Technology,technology,false
vlp00,newsmast.social,Ukraine Invasion,ukraine_invasion,false
drakakis,universeodon.com,History,history,false
drakakis,universeodon.com,Law & Justice,law_justice,false
drakakis,universeodon.com,Movies,movies,false
drakakis,universeodon.com,Music,music,false
drakakis,universeodon.com,Politics,politics,false
drakakis,universeodon.com,Poverty & Inequality,poverty_inequality,false
drakakis,universeodon.com,Social Media,social_media,false
drakakis,universeodon.com,Social Sciences,social_sciences,false
drakakis,universeodon.com,Technology,technology,false
drakakis,universeodon.com,TV & Radio,tv_radio,false
drakakis,universeodon.com,Ukraine Invasion,ukraine_invasion,false
JMMaok,mastodon.online,Breaking News,breaking_news,false
JMMaok,mastodon.online,Democracy & Human Rights,democracy_human_rights,false
JMMaok,mastodon.online,Journalism & Comment,news_comment_data,false
JMMaok,mastodon.online,Poverty & Inequality,poverty_inequality,false
JMMaok,mastodon.online,Social Media,social_media,false
JMMaok,mastodon.online,Social Sciences,social_sciences,false
JMMaok,mastodon.online,Technology,technology,false
JMMaok,mastodon.online,US Politics,us_politics,false
JMMaok,mastodon.online,Workers Rights,workers_rights,false
JMMaok,mastodon.online,Government & Policy,government_policy,true
instepphysio,newsmast.social,Academia & Research,academia_research,false
instepphysio,newsmast.social,Biodiversity & Rewilding,biodiversity_rewilding,false
instepphysio,newsmast.social,Climate change,climate_change,false
tschigi,swiss.social,Biodiversity & Rewilding,biodiversity_rewilding,false
tschigi,swiss.social,Climate change,climate_change,false
tschigi,swiss.social,Programming,programming,false
instepphysio,newsmast.social,Democracy & Human Rights,democracy_human_rights,false
tschigi,swiss.social,Technology,technology,false
instepphysio,newsmast.social,Environment,environment,false
instepphysio,newsmast.social,Government & Policy,government_policy,false
instepphysio,newsmast.social,Healthcare,healthcare,false
instepphysio,newsmast.social,"Hunger, Disease & Water",hunger_disease_water,false
instepphysio,newsmast.social,Law & Justice,law_justice,false
drakakis,universeodon.com,Breaking News,breaking_news,true
CStJames,kolektiva.social,AI,ai,false
CStJames,kolektiva.social,Biology,biology,false
CStJames,kolektiva.social,Business,business,false
CStJames,kolektiva.social,Chemistry,chemistry,false
CStJames,kolektiva.social,Democracy & Human Rights,democracy_human_rights,false
CStJames,kolektiva.social,Football,football,false
CStJames,kolektiva.social,Government & Policy,government_policy,false
CStJames,kolektiva.social,Healthcare,healthcare,false
domy,mstdn.social,Programming,programming,false
CStJames,kolektiva.social,Markets & Finance,markets_finance,false
CStJames,kolektiva.social,Mathematics,mathematics,false
CStJames,kolektiva.social,Journalism & Comment,news_comment_data,false
CStJames,kolektiva.social,Physics,physics,false
CStJames,kolektiva.social,Politics,politics,false
CStJames,kolektiva.social,Programming,programming,false
CStJames,kolektiva.social,Science,science,false
CStJames,kolektiva.social,Social Media,social_media,false
CStJames,kolektiva.social,Space,space,false
CStJames,kolektiva.social,Sport,sport,false
CStJames,kolektiva.social,Technology,technology,false
CStJames,kolektiva.social,Ukraine Invasion,ukraine_invasion,false
CStJames,kolektiva.social,US Sport,us_sport,false
CStJames,kolektiva.social,Weather,weather,false
CStJames,kolektiva.social,Breaking News,breaking_news,true
harrylyon,newsmast.social,Biodiversity & Rewilding,biodiversity_rewilding,false
harrylyon,newsmast.social,Climate change,climate_change,false
harrylyon,newsmast.social,Disabled Voices,disabled_voices,false
harrylyon,newsmast.social,Energy & Pollution,energy_pollution,false
tne_556,mastodon.social,AI,ai,false
tne_556,mastodon.social,Democracy & Human Rights,democracy_human_rights,false
tne_556,mastodon.social,Engineering,engineering,false
tne_556,mastodon.social,"Hunger, Disease & Water",hunger_disease_water,false
tne_556,mastodon.social,Journalism & Comment,news_comment_data,false
tne_556,mastodon.social,Poverty & Inequality,poverty_inequality,false
tne_556,mastodon.social,Programming,programming,false
tne_556,mastodon.social,Social Media,social_media,false
tne_556,mastodon.social,Technology,technology,false
tne_556,mastodon.social,Ukraine Invasion,ukraine_invasion,false
tne_556,mastodon.social,Weather,weather,false
tne_556,mastodon.social,Breaking News,breaking_news,true
harrylyon,newsmast.social,Environment,environment,false
kimschulz,social.data.coop,AI,ai,false
kimschulz,social.data.coop,Biodiversity & Rewilding,biodiversity_rewilding,false
kimschulz,social.data.coop,Biology,biology,false
kimschulz,social.data.coop,Breaking News,breaking_news,false
kimschulz,social.data.coop,Chemistry,chemistry,false
kimschulz,social.data.coop,Climate change,climate_change,false
kimschulz,social.data.coop,Democracy & Human Rights,democracy_human_rights,false
kimschulz,social.data.coop,Energy & Pollution,energy_pollution,false
kimschulz,social.data.coop,Engineering,engineering,false
kimschulz,social.data.coop,Environment,environment,false
kimschulz,social.data.coop,"Hunger, Disease & Water",hunger_disease_water,false
kimschulz,social.data.coop,Mathematics,mathematics,false
kimschulz,social.data.coop,Journalism & Comment,news_comment_data,false
kimschulz,social.data.coop,Physics,physics,false
kimschulz,social.data.coop,Poverty & Inequality,poverty_inequality,false
kimschulz,social.data.coop,Programming,programming,false
kimschulz,social.data.coop,Science,science,false
kimschulz,social.data.coop,Social Media,social_media,false
kimschulz,social.data.coop,Space,space,false
kimschulz,social.data.coop,Ukraine Invasion,ukraine_invasion,false
kimschulz,social.data.coop,Weather,weather,false
kimschulz,social.data.coop,Technology,technology,true
cmonster,thecanadian.social,Journalism & Comment,news_comment_data,false
cmonster,thecanadian.social,Science,science,false
cmonster,thecanadian.social,US Sport,us_sport,false
cmonster,thecanadian.social,Weather,weather,false
cmonster,thecanadian.social,Space,space,true
tschigi,swiss.social,Space,space,true
worldbyisa,newsmast.social,Architecture & Design,architecture_design,false
worldbyisa,newsmast.social,Books & Literature,books_literature,false
worldbyisa,newsmast.social,Creative Arts,creative_arts,false
worldbyisa,newsmast.social,Nature & Wildlife,nature_wildlife,false
worldbyisa,newsmast.social,Travel,travel,true
youronlyone,c.im,History,history,false
ikuturso,mastodon.social,AI,ai,false
ikuturso,mastodon.social,Books & Literature,books_literature,false
