#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
skinheads.network,suspend,false,false,Oliphant Tier 3,false
zztails.online,suspend,false,false,Oliphant Tier 3,false
animesexual.community,suspend,false,false,Oliphant Tier 3,false
bussy.monster,suspend,false,false,Oliphant Tier 3,false
cannibal.cafe,suspend,false,false,Oliphant Tier 3,false
catposter.club,suspend,false,false,Oliphant Tier 3,false
childlove.space,suspend,false,false,Oliphant Tier 3,false
childpawn.shop,suspend,false,false,Oliphant Tier 3,false
cryptodon.lol,suspend,false,false,Oliphant Tier 3,false
cryptotalks.social,suspend,false,false,Oliphant Tier 3,false
cryptotooter.com,suspend,false,false,Oliphant Tier 3,false
dickkickextremist.xyz,suspend,false,false,Oliphant Tier 3,false
dirtyhobby.xyz,suspend,false,false,Oliphant Tier 3,false
femboys.love,suspend,false,false,Oliphant Tier 3,false
freecumextremist.com,suspend,false,false,Oliphant Tier 3,false
furcel.club,suspend,false,false,Oliphant Tier 3,false
goreslut.xyz,suspend,false,false,Oliphant Tier 3,false
homd.xyz,suspend,false,false,Oliphant Tier 3,false
honkwerx.tech,suspend,false,false,Oliphant Tier 3,false
hornyjail.pro,suspend,false,false,Oliphant Tier 3,false
hunk.city,suspend,false,false,Oliphant Tier 3,false
lgbtfree.zone,suspend,false,false,Oliphant Tier 3,false
nazi.social,suspend,false,false,Oliphant Tier 3,false
porntoot.com,suspend,false,false,Oliphant Tier 3,false
preteengirls.biz,suspend,false,false,Oliphant Tier 3,false
rape.pet,suspend,false,false,Oliphant Tier 3,false
rapefeminists.network,suspend,false,false,Oliphant Tier 3,false
saynoto.lgbt,suspend,false,false,Oliphant Tier 3,false
whitewomen.dog,suspend,false,false,Oliphant Tier 3,false
zztails.gay,suspend,false,false,Oliphant Tier 3,false
matrix.rocks,suspend,false,false,Oliphant Tier 3,false
4bear.com,suspend,false,false,Oliphant Tier 3,false
076.moe,suspend,false,false,Oliphant Tier 3,false
076.ne.jp,suspend,false,false,Oliphant Tier 3,false
0x68756773.moe,suspend,false,false,Oliphant Tier 3,false
101010.pl,suspend,false,false,Oliphant Tier 3,false
10minutepleroma.com,suspend,false,false,Oliphant Tier 3,false
1745.info,suspend,false,false,Oliphant Tier 3,false
1being.org,suspend,false,false,Oliphant Tier 3,false
4chan.icu,suspend,false,false,Oliphant Tier 3,false
7td.org,suspend,false,false,Oliphant Tier 3,false
80percent.social,suspend,false,false,Oliphant Tier 3,false
829.hu,suspend,false,false,Oliphant Tier 3,false
8777.ch,suspend,false,false,Oliphant Tier 3,false
9tail.net,suspend,false,false,Oliphant Tier 3,false
a.sc,suspend,false,false,Oliphant Tier 3,false
aaoth.xyz,suspend,false,false,Oliphant Tier 3,false
abdl.link,suspend,false,false,Oliphant Tier 3,false
abraham.su,suspend,false,false,Oliphant Tier 3,false
absturztau.be,suspend,false,false,Oliphant Tier 3,false
activism.openworlds.info,suspend,false,false,Oliphant Tier 3,false
activitypub-proxy.cf,suspend,false,false,Oliphant Tier 3,false
activitypub-troll.cf,suspend,false,false,Oliphant Tier 3,false
